"Transaction unique identifier","Price","Date of Transfer","Property Type","Old/New","Duration","Town/City","District","County","PPDCategory Type","Record Status - monthly file only"
"{4E95D757-2130-EDA1-E050-A8C0630539E2}","185000","2017-03-31 00:00","F","N","L","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","A","A"
"{4E95D757-2131-EDA1-E050-A8C0630539E2}","325000","2017-04-07 00:00","S","N","F","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","A","A"
"{4E95D757-2132-EDA1-E050-A8C0630539E2}","280000","2017-01-27 00:00","T","N","F","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","A","A"
"{4E95D757-2134-EDA1-E050-A8C0630539E2}","288000","2017-03-31 00:00","F","N","L","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","A","A"
"{4E95D757-2135-EDA1-E050-A8C0630539E2}","178000","2017-03-23 00:00","F","N","L","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","A","A"
"{4E95D757-2137-EDA1-E050-A8C0630539E2}","210000","2017-04-12 00:00","T","N","F","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","A","A"
"{4E95D757-2138-EDA1-E050-A8C0630539E2}","410000","2017-04-05 00:00","T","N","F","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","A","A"
"{4E95D757-1973-EDA1-E050-A8C0630539E2}","550000","2017-03-23 00:00","D","N","F","DUNSTABLE","CENTRAL BEDFORDSHIRE","CENTRAL BEDFORDSHIRE","A","A"
"{4E95D757-1974-EDA1-E050-A8C0630539E2}","210000","2017-02-14 00:00","S","N","F","BEDFORD","BEDFORD","BEDFORD","A","A"
"{4E95D757-1975-EDA1-E050-A8C0630539E2}","425000","2017-04-07 00:00","D","N","F","LUTON","LUTON","LUTON","A","A"
"{4E95D757-1976-EDA1-E050-A8C0630539E2}","360000","2017-02-24 00:00","T","N","F","HITCHIN","CENTRAL BEDFORDSHIRE","CENTRAL BEDFORDSHIRE","A","A"
"{4E95D757-1977-EDA1-E050-A8C0630539E2}","632500","2017-04-21 00:00","D","N","F","BEDFORD","CENTRAL BEDFORDSHIRE","CENTRAL BEDFORDSHIRE","A","A"
"{4E95D757-1978-EDA1-E050-A8C0630539E2}","345000","2017-03-24 00:00","D","N","F","BEDFORD","BEDFORD","BEDFORD","A","A"
